"Name";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"High";"Low";"Last";"Last Date/Time";"Time Zone";"Volume";"Turnover"
"European Equities";"";;;;;;;;;;;
"23 Jan 2019";;;;;;;;;;;;
"All datapoints provided as of end of last active trading day.";;;;;;;;;;;;
"STEF";"FR0000064271";"STF";"Euronext Paris";"EUR";"79.60";"80.20";"79.50";"79.90";"22/01/2019 17:35";"CET";"1981";"158292.10"
"STENTYS";"FR0010949404";"STNT";"Euronext Paris";"EUR";"0.455";"0.4555";"0.45";"0.45";"22/01/2019 17:13";"CET";"32848";"14806.62"
"STERN GROEP";"NL0000336303";"STRN";"Euronext Amsterdam";"EUR";"15.45";"15.45";"15.30";"15.30";"22/01/2019 17:29";"CET";"337";"5189.75"
"STMICROELECTRONICS";"NL0000226223";"STM";"Euronext Paris";"EUR";"12.82";"12.94";"12.42";"12.48";"22/01/2019 17:38";"CET";"2641236";"33288613.11"
"STRADIM ESPAC.FIN";"FR0000074775";"ALSAS";"Euronext Growth Paris";"EUR";"7.25";"7.25";"7.25";"7.25";"21/01/2019 16:30";"CET";"200";"1450.00"
"STREAMWIDE";"FR0010528059";"ALSTW";"Euronext Growth Paris";"EUR";"7.55";"7.55";"7.55";"7.55";"22/01/2019 11:30";"CET";"1";"7.55"
"STREAMWIDE BS";"FR0012790756";"STWDS";"Euronext Growth Paris";"EUR";"0.01";"0.01";"0.01";"0.01";"29/06/2018 09:00";"CET";"6";"0.06"
"STREIT MECANIQUE";"FR0000063976";"MLSTR";"Euronext Access Paris";"EUR";"11.80";"11.80";"11.80";"11.80";"16/01/2019 11:46";"CET";"100";"1180.00"
"SUCRAF A & B";"BE0003463685";"SUCR";"Euronext Brussels";"EUR";"1.15";"1.15";"1.15";"1.15";"17/01/2019 16:30";"CET";"1050";"1207.50"
"SUEZ";"FR0010613471";"SEV";"Euronext Paris, Brussels";"EUR";"11.375";"11.485";"11.345";"11.375";"22/01/2019 17:35";"CET";"1289694";"14690290.76"
"SUEZ ENV NV19";"FR0013391869";"SEVNV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"SUMO RESOURCES PLC";"GB00B8GJBS16";"MLSUM";"Euronext Access Paris";"EUR";"0.017";"0.017";"0.017";"0.017";"22/01/2019 11:30";"CET";"1";"0.02"
"SUPERSONIC IMAGINE";"FR0010526814";"SSI";"Euronext Paris";"EUR";"1.37";"1.41";"1.358";"1.404";"22/01/2019 17:17";"CET";"15527";"21548.62"
"SWISSFINTECINVEST";"CH0309050059";"MLSFI";"Euronext Access Paris";"EUR";"0.29";"0.29";"0.29";"0.29";"22/01/2019 16:30";"CET";"1500";"435.00"
"SWORD GROUP";"FR0004180578";"SWP";"Euronext Paris";"EUR";"32.60";"33.10";"32.60";"33.00";"22/01/2019 17:35";"CET";"2810";"92543.05"
"SYNERGIE";"FR0000032658";"SDG";"Euronext Paris";"EUR";"27.30";"27.90";"27.25";"27.65";"22/01/2019 17:35";"CET";"7008";"192884.40"
"TAKEAWAY";"NL0012015705";"TKWY";"Euronext Amsterdam";"EUR";"56.20";"57.00";"55.50";"56.00";"22/01/2019 17:35";"CET";"465280";"26084606.60"
"TARKETT";"FR0004188670";"TKTT";"Euronext Paris";"EUR";"19.32";"19.47";"19.06";"19.38";"22/01/2019 17:35";"CET";"43200";"834804.74"
"TAYNINH";"FR0000063307";"TAYN";"Euronext Paris";"EUR";"1.36";"1.36";"1.36";"1.36";"28/11/2018 16:51";"CET";"2600";"3536.00"
"TEAM";"FR0000033466";"MLTEA";"Euronext Access Paris";"EUR";"324.00";"324.00";"324.00";"324.00";"04/01/2019 11:30";"CET";"2";"648.00"
"TECHNICOLOR";"FR0010918292";"TCH";"Euronext Paris";"EUR";"0.987";"1.018";"0.966";"1.003";"22/01/2019 17:35";"CET";"868826";"862916.68"
"TECHNIPFMC";"GB00BDSFG982";"FTI";"Euronext Paris";"EUR";"20.45";"20.74";"20.22";"20.35";"22/01/2019 17:35";"CET";"1301250";"26572944.16"
"TECHNOFIRST";"FR0011651819";"ALFST";"Euronext Growth Paris";"EUR";"0.102";"0.11";"0.102";"0.11";"22/01/2019 16:30";"CET";"6786";"726.46"
"TEIXEIRA DUARTE";"PTTD10AM0000";"TDSA";"Euronext Lisbon";"EUR";"0.144";"0.144";"0.138";"0.14";"22/01/2019 22:35";"BST";"366976";"51063.74"
"TELECOM ITALIA SPA";"IT0003497168";"TIT";"Traded not listed Brussels";"EUR";"0.476";"0.476";"0.45";"0.45";"22/01/2019 12:35";"CET";"2918";"1367.19"
"TELEFONICA";"ES0178430E18";"TFA";"Traded not listed Brussels";"EUR";"7.544";"7.544";"7.532";"7.532";"16/01/2019 16:03";"CET";"1562";"11770.98"
"TELENET GROUP";"BE0003826436";"TNET";"Euronext Brussels";"EUR";"39.10";"39.56";"38.76";"38.94";"22/01/2019 17:35";"CET";"237568";"9273131.20"
"TELEPERFORMANCE";"FR0000051807";"TEP";"Euronext Paris";"EUR";"146.50";"147.70";"144.30";"144.30";"22/01/2019 17:35";"CET";"113828";"16549920.70"
"TELEVERBIER";"CH0008175645";"TVRB";"Euronext Paris";"EUR";"43.40";"43.40";"43.40";"43.40";"21/01/2019 11:50";"CET";"57";"2473.80"
"TELEVISTA";"FR0011076595";"MLVST";"Euronext Access Paris";"EUR";"5.85";"5.85";"5.85";"5.85";"04/01/2019 16:30";"CET";"3";"17.55"
"TER BEKE";"BE0003573814";"TERB";"Euronext Brussels";"EUR";"140.50";"140.50";"135.50";"139.50";"22/01/2019 16:43";"CET";"368";"50332.50"
"TERREIS";"FR0010407049";"TER";"Euronext Paris";"EUR";"37.80";"37.90";"37.40";"37.70";"22/01/2019 17:35";"CET";"1278";"48273.90"
"TESSENDERLO";"BE0003555639";"TESB";"Euronext Brussels";"EUR";"30.75";"30.95";"30.65";"30.70";"22/01/2019 17:35";"CET";"15440";"475344.55"
"TESSI";"FR0004529147";"TES";"Euronext Paris";"EUR";"160.00";"160.00";"160.00";"160.00";"22/01/2019 17:35";"CET";"233";"37280.00"
"TETRAGON FIN GRP";"GG00B1RMC548";"TFG";"Euronext Amsterdam";"USD";"11.90";"12.30";"11.90";"12.30";"22/01/2019 17:00";"CET";"15870";"168788.85"
"TEXAF";"BE0974263924";"TEXF";"Euronext Brussels";"EUR";"27.60";"27.60";"27.40";"27.40";"22/01/2019 14:18";"CET";"200";"5506.10"
"TF1";"FR0000054900";"TFI";"Euronext Paris";"EUR";"6.82";"6.99";"6.775";"6.87";"22/01/2019 17:35";"CET";"292163";"2013171.97"
"TF1 NV19";"FR0013381456";"TFINV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"TFF GROUP";"FR0013295789";"TFF";"Euronext Paris";"EUR";"43.00";"43.00";"42.00";"42.50";"22/01/2019 17:35";"CET";"832";"35164.10"
"THALES";"FR0000121329";"HO";"Euronext Paris";"EUR";"100.90";"101.20";"100.35";"100.95";"22/01/2019 17:35";"CET";"164998";"16643953.90"
"THALES NV19";"FR0013391802";"HONV";"Euronext Paris";"EUR";"99.32";"99.32";"98.80";"98.80";"22/01/2019 16:30";"CET";"522";"51585.04"
"THE BLOCKCHAIN GP";"FR0011053636";"ALTBG";"Euronext Growth Paris";"EUR";"0.1676";"0.1676";"0.159";"0.162";"22/01/2019 17:35";"CET";"49172";"7994.72"
"THE NAVIGATOR COMP";"PTPTI0AM0006";"NVG";"Euronext Lisbon";"EUR";"4.108";"4.136";"4.08";"4.134";"22/01/2019 22:35";"BST";"647103";"2663436.68"
"THERACLION";"FR0010120402";"ALTHE";"Euronext Growth Paris";"EUR";"0.69";"0.69";"0.67";"0.69";"22/01/2019 17:35";"CET";"7291";"4951.22"
"THERADIAG";"FR0004197747";"ALTER";"Euronext Growth Paris";"EUR";"1.185";"1.185";"1.145";"1.18";"22/01/2019 17:01";"CET";"5958";"6900.26"
"THERADIAG BSAR";"FR0013260973";"ALTBS";"Euronext Growth Paris";"EUR";"0.0138";"0.0138";"0.0138";"0.0138";"22/01/2019 15:24";"CET";"700";"9.66"
"THERANEXUS";"FR0013286259";"ALTHX";"Euronext Growth Paris";"EUR";"16.40";"17.00";"16.40";"16.50";"22/01/2019 17:35";"CET";"2510";"42160.71"
"THERMADOR GROUPE";"FR0013333432";"THEP";"Euronext Paris";"EUR";"49.20";"50.20";"49.20";"50.00";"22/01/2019 17:35";"CET";"1227";"61216.00"
"THUNDERBIRD";"VGG885761061";"TBIRD";"Euronext Amsterdam";"USD";"0.15";"0.159";"0.15";"0.159";"21/01/2019 16:13";"CET";"265";"36.79"
"TIE KINETIX";"NL0010389508";"TIE";"Euronext Amsterdam";"EUR";"6.90";"7.10";"6.90";"7.10";"21/01/2019 14:21";"CET";"12";"84.80"
"TIKEHAU CAPITAL";"FR0013230612";"TKO";"Euronext Paris";"EUR";"19.20";"19.20";"19.00";"19.00";"22/01/2019 17:35";"CET";"6914";"131986.80"
"TINC";"BE0974282148";"TINC";"Euronext Brussels";"EUR";"11.90";"11.95";"11.85";"11.95";"22/01/2019 17:35";"CET";"10235";"121812.65"
"TIPIAK";"FR0000066482";"TIPI";"Euronext Paris";"EUR";"79.00";"79.00";"79.00";"79.00";"22/01/2019 11:30";"CET";"16";"1264.00"
"TISCALI";"IT0004513666";"TISN";"Traded not listed Brussels";"EUR";"0.0128";"0.013";"0.0128";"0.013";"21/01/2019 13:55";"CET";"10042";"130.54"
"TIVOLY";"FR0000060949";"TVLY";"Euronext Paris";"EUR";"32.80";"32.80";"32.20";"32.20";"22/01/2019 09:10";"CET";"67";"2162.40"
"TKH GROUP";"NL0000852523";"TWEKA";"Euronext Amsterdam";"EUR";"41.02";"41.46";"40.66";"40.90";"22/01/2019 17:35";"CET";"36145";"1483227.20"
"TOMTOM";"NL0000387058";"TOM2";"Euronext Amsterdam";"EUR";"7.59";"8.188";"7.39";"7.442";"22/01/2019 17:35";"CET";"4298981";"33063756.46"
"TONNA ELECTRONIQUE";"FR0000064388";"TONN";"Euronext Paris";"EUR";"0.41";"0.41";"0.41";"0.41";"22/06/2018 11:51";"CET";"5";"2.05"
"TOOLUX SANDING";"LU0394945660";"ALTLX";"Euronext Growth Paris";"EUR";"1.60";"1.60";"1.60";"1.60";"25/03/2015 15:30";"CET";"1650";"2640.00"
"TOQUEBLANCHEMONDE";"FR0011668821";"MLTBM";"Euronext Access Paris";"EUR";"1.80";"1.80";"1.80";"1.80";"04/12/2018 16:30";"CET";"359";"646.20"
"TOTAL";"FR0000120271";"FP";"Euronext Paris, Brussels";"EUR";"47.20";"47.28";"46.71";"47.01";"22/01/2019 17:39";"CET";"4302035";"202095580.44"
"TOTAL GABON";"GA0000121459";"EC";"Euronext Paris";"EUR";"125.00";"125.50";"124.00";"124.00";"22/01/2019 17:21";"CET";"609";"75910.00"
"TOUAX";"FR0000033003";"TOUP";"Euronext Paris";"EUR";"5.12";"5.18";"5.12";"5.18";"22/01/2019 15:41";"CET";"1195";"6124.00"
"TOUPARGEL GROUPE";"FR0000039240";"TOU";"Euronext Paris";"EUR";"2.04";"2.04";"2.04";"2.04";"22/01/2019 09:00";"CET";"1";"2.04"
"TOUR EIFFEL";"FR0000036816";"EIFF";"Euronext Paris";"EUR";"38.90";"39.20";"38.90";"39.00";"22/01/2019 17:35";"CET";"6355";"247724.50"
"TOUTABO";"FR0010621722";"MLABO";"Euronext Access Paris";"EUR";"1.01";"1.01";"1.01";"1.01";"18/06/2018 16:30";"CET";"75";"75.75"
"TOYOTA CAETANO";"PTSCT0AP0018";"SCT";"Euronext Lisbon";"EUR";"3.00";"3.00";"3.00";"3.00";"22/01/2019 16:30";"BST";"2";"6.00"
"TPSH";"FR0011040690";"MLPSH";"Euronext Access Paris";"EUR";"0.191";"0.191";"0.191";"0.191";"17/12/2018 11:30";"CET";"3070";"586.37"
"TRAMWAYS DE ROUEN";"FR0000031866";"MLTRA";"Euronext Access Paris";"EUR";"2940.00";"2940.00";"2940.00";"2940.00";"09/01/2019 11:30";"CET";"1";"2940.00"
"TRANSGENE";"FR0005175080";"TNG";"Euronext Paris";"EUR";"2.785";"2.815";"2.78";"2.81";"22/01/2019 17:35";"CET";"11214";"31362.11"
"TRANSINSULAR";"PTTRA0AN0016";"TRAAP";"Euronext Access Lisbon";"EUR";"21.01";"21.01";"21.01";"21.01";"06/12/2012 21:30";"BST";"57";"1197.57"
"TRAQUEUR";"FR0004043487";"ALTRA";"Euronext Growth Paris";"EUR";"1.09";"1.10";"1.09";"1.10";"22/01/2019 16:30";"CET";"19";"20.89"
"TRIGANO";"FR0005691656";"TRI";"Euronext Paris";"EUR";"82.00";"82.15";"80.25";"81.30";"22/01/2019 17:36";"CET";"32411";"2630042.70"
"TRILOGIQ";"FR0010397901";"ALTRI";"Euronext Growth Paris";"EUR";"4.76";"4.76";"4.76";"4.76";"15/01/2019 11:30";"CET";"520";"2475.20"
"TROC ILE";"FR0000031106";"MLTRO";"Euronext Access Paris";"EUR";"4.48";"4.48";"4.48";"4.48";"28/12/2018 16:30";"CET";"62";"277.76"
"TROIS CHENES";"FR0000076481";"MLTRC";"Euronext Access Paris";"EUR";"8.55";"8.55";"8.55";"8.55";"16/01/2019 16:30";"CET";"51";"436.05"
"TRONICS";"FR0004175099";"ALTRO";"Euronext Growth Paris";"EUR";"11.00";"11.00";"11.00";"11.00";"14/01/2019 11:30";"CET";"128";"1408.00"
"TTI";"FR0010383877";"ALTTI";"Euronext Growth Paris";"EUR";"1.50";"1.50";"1.50";"1.50";"10/01/2019 11:30";"CET";"4";"6.00"
"TUBIZE-FIN";"BE0003823409";"TUB";"Euronext Brussels";"EUR";"66.00";"66.40";"65.70";"66.30";"22/01/2019 17:35";"CET";"11382";"751310.00"
"TXCOM";"FR0010654087";"ALTXC";"Euronext Growth Paris";"EUR";"4.98";"4.98";"4.98";"4.98";"17/01/2019 16:30";"CET";"300";"1494.00"
"U&I LEARNING";"BE0003847648";"UNI";"Euronext Access Brussels";"EUR";"0.84";"0.90";"0.84";"0.90";"21/01/2019 16:32";"CET";"8054";"7068.60"
"U10";"FR0000079147";"ALU10";"Euronext Growth Paris";"EUR";"1.885";"1.91";"1.87";"1.89";"22/01/2019 17:35";"CET";"4746";"8961.23"
"UBISOFT ENTERTAIN";"FR0000054470";"UBI";"Euronext Paris";"EUR";"78.14";"79.56";"77.14";"78.28";"22/01/2019 17:35";"CET";"206220";"16171533.62"
"UCAR";"FR0011070457";"ALUCR";"Euronext Growth Paris";"EUR";"16.40";"16.80";"16.40";"16.80";"22/01/2019 09:11";"CET";"401";"6701.40"
"UCARE SERVICES BEL";"BE0003838555";"PNSB";"Euronext Access Brussels";"EUR";"2.30";"2.30";"2.30";"2.30";"06/08/2018 11:30";"CET";"420";"966.00"
"UCB";"BE0003739530";"UCB";"Euronext Brussels";"EUR";"76.22";"76.80";"75.64";"76.14";"22/01/2019 17:35";"CET";"354217";"26987513.74"
"UMALIS GROUP";"FR0011776889";"MLUMG";"Euronext Access Paris";"EUR";"7.80";"7.80";"7.80";"7.80";"28/12/2018 16:30";"CET";"1";"7.80"
"UMANIS";"FR0013263878";"ALUMS";"Euronext Growth Paris";"EUR";"8.30";"8.52";"8.30";"8.46";"22/01/2019 17:24";"CET";"3418";"28734.06"
"UMICORE";"BE0974320526";"UMI";"Euronext Brussels";"EUR";"35.65";"35.96";"34.46";"34.85";"22/01/2019 17:35";"CET";"1055830";"37049607.81"
"UN TOIT POUR TOI";"FR0013180189";"MLUTP";"Euronext Access Paris";"EUR";"8.85";"8.85";"8.85";"8.85";"03/12/2018 11:30";"CET";"60";"531.00"
"UNI.METALG.HT-SEI.";"FR0005783503";"MLUMH";"Euronext Access Paris";"EUR";"43.80";"44.00";"43.80";"44.00";"22/02/2018 16:30";"CET";"70";"3066.20"
"UNIBAIL-RODAMCO-WE";"FR0013326246";"URW";"Euronext Amsterdam, Paris";"EUR";"148.54";"150.04";"148.18";"148.50";"22/01/2019 17:35";"CET";"414995";"61742143.10"
"UNIBEL";"FR0000054215";"UNBL";"Euronext Paris";"EUR";"735.00";"735.00";"735.00";"735.00";"11/01/2019 11:30";"CET";"4";"2940.00"
"UNILEVER DR";"NL0000009355";"UNA";"Euronext Amsterdam";"EUR";"46.63";"47.00";"46.45";"46.69";"22/01/2019 17:36";"CET";"3876947";"180976445.26"
"UNILEVER OS";"NL0000388619";"UNIA";"Euronext Amsterdam";"EUR";"46.90";"47.70";"46.50";"47.70";"22/01/2019 17:35";"CET";"682";"31880.20"
"UNION FIN.FRANCE";"FR0000034548";"UFF";"Euronext Paris";"EUR";"22.50";"22.60";"22.10";"22.40";"22/01/2019 15:49";"CET";"1337";"30047.60"
"UNION PAC CORP";"US9078181081";"UNPA";"Traded not listed Brussels";"USD";"104.55";"104.55";"104.55";"104.55";"22/12/2016 16:30";"CET";"78";"8154.90"
"UNION TECH.INFOR.";"FR0000074197";"FPG";"Euronext Paris";"EUR";"0.52";"0.538";"0.51";"0.53";"22/01/2019 16:28";"CET";"1473";"775.38"
"UNITI";"FR0012709160";"MLUNT";"Euronext Access Paris";"EUR";"3.66";"3.66";"3.66";"3.66";"04/07/2018 16:30";"CET";"2";"7.32"
"UPERGY";"FR0010337865";"ALUPG";"Euronext Growth Paris";"EUR";"5.60";"5.60";"5.45";"5.45";"22/01/2019 17:35";"CET";"2675";"14795.50"
"UV GERMI";"FR0011898584";"ALUVI";"Euronext Growth Paris";"EUR";"3.97";"3.97";"3.97";"3.97";"22/01/2019 09:00";"CET";"1";"3.97"
"V LANSCHOT KEMPEN";"NL0000302636";"VLK";"Euronext Amsterdam";"EUR";"19.50";"19.98";"19.42";"19.96";"22/01/2019 17:35";"CET";"23841";"468208.78"
"VAA VISTA ALEGRE";"PTVAA0AM0019";"VAF";"Euronext Lisbon";"EUR";"1.50";"1.50";"1.50";"1.50";"21/01/2019 21:30";"BST";"761";"1141.50"
"VALBIOTIS";"FR0013254851";"ALVAL";"Euronext Growth Paris";"EUR";"4.00";"4.03";"3.95";"4.03";"22/01/2019 10:35";"CET";"986";"3955.75"
"VALE";"US91912E1055";"VALE3";"Euronext Paris";"EUR";"12.60";"12.60";"12.60";"12.60";"15/01/2019 10:21";"CET";"20";"252.00"
"VALE PREF";"US91912E2046";"VALE5";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"VALEO";"FR0013176526";"FR";"Euronext Paris";"EUR";"26.67";"26.80";"25.94";"26.20";"22/01/2019 17:35";"CET";"1172363";"30766568.55"
"VALLOUREC";"FR0000120354";"VK";"Euronext Paris";"EUR";"1.736";"1.7465";"1.687";"1.701";"22/01/2019 17:35";"CET";"4916061";"8416984.49"
"VALNEVA";"FR0004056851";"VLA";"Euronext Paris";"EUR";"3.54";"3.55";"3.465";"3.465";"22/01/2019 17:35";"CET";"57205";"200569.10"
"VALNEVA PREF";"FR0011472943";"VLAP";"Euronext Paris";"EUR";"0.107";"0.107";"0.095";"0.107";"22/01/2019 17:09";"CET";"169461";"17214.74"
"VALONEO";"FR0012833770";"MLVAL";"Euronext Access Paris";"EUR";"14.30";"14.30";"14.30";"14.30";"25/09/2018 16:30";"CET";"10";"143.00"
"VALUE8";"NL0010661864";"VALUE";"Euronext Amsterdam";"EUR";"5.00";"5.00";"5.00";"5.00";"22/01/2019 11:20";"CET";"146";"730.00"
"VALUE8 CUM PREF";"NL0009875483";"PREVA";"Euronext Amsterdam";"EUR";"26.16";"26.16";"26.16";"26.16";"18/01/2019 11:30";"CET";"100";"2616.00"
"VAN DE VELDE";"BE0003839561";"VAN";"Euronext Brussels";"EUR";"27.15";"27.50";"27.15";"27.30";"22/01/2019 17:35";"CET";"2879";"78583.35"
"VASTNED";"NL0000288918";"VASTN";"Euronext Amsterdam";"EUR";"32.10";"32.10";"31.20";"31.30";"22/01/2019 17:35";"CET";"28914";"912560.45"
"VASTNED RETAIL BEL";"BE0003754687";"VASTB";"Euronext Brussels";"EUR";"42.40";"42.40";"42.10";"42.20";"22/01/2019 16:09";"CET";"915";"38684.20"
"VELCAN HOLDINGS";"FR0010245803";"ALVEL";"Euronext Growth Paris";"EUR";"8.50";"8.50";"8.20";"8.20";"22/01/2019 17:07";"CET";"3375";"27918.10"
"VENTE UNIQUE.COM";"FR0010766667";"ALVU";"Euronext Growth Paris";"EUR";"5.75";"5.75";"5.75";"5.75";"22/01/2019 09:00";"CET";"1";"5.75"
"VEOLIA ENVIRON.";"FR0000124141";"VIE";"Euronext Paris";"EUR";"18.145";"18.27";"18.03";"18.085";"22/01/2019 17:35";"CET";"964453";"17467027.00"
